TargetID	CHR
cg00291222	X
cg00291929	X
cg00292305	X
cg00295573	X
cg00303108	X
cg00304884	X
cg00321056	X
cg00323457	X
cg00328965	X
cg00329040	X
cg00331433	X
cg00337921	X
cg00347850	X
cg00348113	X
cg00349460	X
cg00355945	X
cg00357087	X
cg00358459	X
cg00359973	X
cg00360298	X
cg00360365	X
cg00363318	X
cg00366674	X
cg00368230	X
cg00369058	X
cg00369477	X
cg00370296	X
cg00373606	X
cg00374088	X
cg00374346	X
cg00375105	X
cg00378473	X
cg00378717	X
cg00378950	X
cg00379371	X
cg00379799	X
cg00379983	X
cg00380985	X
cg00381376	X
cg00382651	X
cg00387056	X
cg00387940	X
cg00388637	X
cg00389276	X
cg00389552	X
cg00389918	X
cg00390049	X
cg00391044	X
cg00391379	X
cg00399450	X
cg00400665	X
cg00400999	X
cg00401265	X
cg00402910	X
cg00403724	X
cg00404599	X
cg00406460	X
cg00408231	X
cg00409000	X
cg00409480	X
cg00411843	X
cg00412010	X
cg00412368	X
cg00412554	X
cg00416689	X
cg00419390	X
cg00419509	X
cg00420018	X
cg00420717	X
cg00422452	X
cg00423014	X
cg00426668	X
cg00427681	X
cg00428012	X
cg00428314	X
cg00431602	X
cg00433220	X
cg00433890	X
cg00434413	X
cg00451631	X
cg00452819	X
cg00455738	X
cg00456723	X
cg00457389	X
cg00458505	X
cg00459767	X
cg00466309	X
cg00466819	X
cg00467547	X
cg00467854	X
cg00473051	X
cg00473354	X
cg00478198	X
cg00479885	X
cg00481999	X
cg00484111	X
cg00484940	X
cg00488364	X
cg00489811	X
cg00491350	X
cg00497084	X
cg00510327	X
cg00514746	X
cg00517765	X
cg00523465	X
cg00524424	X
cg00525383	X
cg00529027	X
cg00531965	X
cg00536175	X
cg00538420	X
cg00543604	X
cg00547789	X
cg00550141	X
cg00551957	X
cg00553200	X
cg00554969	X
cg00570097	X
cg00571700	X
cg00572146	X
cg00573298	X
cg00574800	X
cg00575851	X
cg00577623	X
cg00578645	X
cg00581583	X
cg00582864	X
cg00583618	X
cg00583858	X
cg00584971	X
cg00586014	X
cg00586321	X
cg00588456	X
cg00592494	X
cg00594844	X
cg00595610	X
cg00595697	X
cg00596686	X
cg00597858	X
cg00598664	X
cg00600110	X
cg00603890	X
cg00604086	X
cg00606069	X
cg00607036	X
cg00608151	X
cg00609239	X
cg00611101	X
cg00612628	X
cg00614938	X
cg00615010	X
cg00615738	X
cg00615794	X
cg00618396	X
cg00619443	X
cg00620602	X
cg00621925	X
cg00622384	X
cg00622389	X
cg00623388	X
cg00625743	X
cg00625841	X
cg00627024	X
cg00632130	X
cg00632374	X
cg00634642	X
cg00636562	X
cg00641092	X
cg00644637	X
cg00645049	X
cg00646140	X
cg00646659	X
cg00648125	X
cg00650640	X
cg00651446	X
cg00658396	X
cg00661180	X
cg00666173	X
cg00667781	X
cg00668426	X
cg00668694	X
cg00673020	X
cg00673685	X
cg00675244	X
cg00679603	X
cg00679726	X
cg00680081	X
cg00680673	X
cg00685229	X
cg00685925	X
cg00688681	X
cg00690049	X
cg00692892	X
cg00694968	X
cg00695046	X
cg00695324	X
cg00697812	X
cg00698744	X
cg00705055	X
cg00713642	X
cg00714323	X
cg00715011	X
cg00718129	X
cg00718858	X
cg00719224	X
cg00721658	X
cg00722467	X
cg00723034	X
cg00723973	X
cg00723997	X
cg00724728	X
cg00725777	X
cg00725912	X
cg00727483	X
cg00729461	X
cg00730224	X
cg00735876	X
cg00735883	X
cg00735885	X
cg00738702	X
cg00739467	X
cg00739582	X
cg00739787	X
cg00741717	X
cg00742240	X
cg00743068	X
cg00743412	X
cg00744851	X
cg00745293	X
cg00748144	X
cg00750740	X
cg00751785	X
cg00752874	X
cg00757453	X
cg00762681	X
cg00763315	X
cg00763725	X
cg00763907	X
cg00765686	X
cg00765885	X
cg00767637	X
cg00768158	X
cg00768439	X
cg00769064	X
cg00769799	X
cg00771185	X
cg00772918	X
cg00772962	X
cg00773875	X
cg00775115	X
cg00775286	X
cg00776430	X
cg00779763	X
cg00780578	X
cg00781047	X
cg00781978	X
cg00783137	X
cg00785877	X
cg00787015	X
cg00788815	X
cg00790086	X
cg00799224	X
cg00800095	X
cg00803922	X
cg00804510	X
cg00805116	X
cg00805156	X
cg00809111	X
cg00810519	X
cg00810883	X
cg00812293	X
cg00812634	X
cg00813142	X
cg00813156	X
cg00813765	X
cg00813999	X
cg00815013	X
cg00815770	X
cg00816548	X
cg00817749	X
cg00817885	X
cg00818649	X
cg00819012	X
cg00820131	X
cg00822942	X
cg00822998	X
cg00823357	X
cg00824273	X
cg00824714	X
cg00825441	X
cg00829575	X
cg00831032	X
cg00832136	X
cg00832270	X
cg00834229	X
cg00839572	X
cg00839869	X
cg00845806	X
cg00849191	X
cg00850648	X
cg00854925	X
cg00854963	X
cg00855706	X
cg00855923	X
cg00861899	X
cg00862041	X
cg00868980	X
cg00869298	X
cg00874863	X
cg00877056	X
cg00877150	X
cg00878023	X
cg00881203	X
cg00881487	X
cg00881557	X
cg00883449	X
cg00890110	X
cg00895705	X
cg00898159	X
cg00901211	X
cg00901375	X
cg00901393	X
cg00902308	X
cg00904184	X
cg00907920	X
cg00908601	X
cg00909097	X
cg00909388	X
cg00910720	X
cg00911398	X
cg00911962	X
cg00913945	X
cg00914218	X
cg00916680	X
cg00917018	X
cg00917362	X
cg00920314	X
cg00920537	X
cg00920960	X
cg00926894	X
cg00928753	X
cg00929476	X
cg00931201	X
cg00932276	X
cg00933162	X
cg00934057	X
cg00935394	X
cg00935924	X
cg00936342	X
cg00936349	X
cg00936435	X
cg00937263	X
cg00938039	X
cg00938641	X
cg00939965	X
cg00940232	X
cg00940287	X
cg00941549	X
cg00947275	X
cg00948677	X
cg00953793	X
cg00958651	X
cg00960300	X
cg00960898	X
cg00962635	X
cg00962799	X
cg00963467	X
cg00965330	X
cg00966524	X
cg00968475	X
cg00968771	X
cg00969573	X
cg00975326	X
cg00977690	X
cg00979376	X
cg00981643	X
cg00981879	X
cg00984611	X
cg00988678	X
cg00993140	X
cg00994038	X
cg00996177	X
cg00997174	X
cg00997875	X
cg01000789	X
cg01001959	X
cg01003197	X
cg01003813	X
cg01004447	X
cg01004805	X
cg01005760	X
cg01008082	X
cg01008919	X
cg01009686	X
cg01010298	X
cg01010618	X
cg01013491	X
cg01019600	X
cg01022618	X
cg01024350	X
cg01037726	X
cg01039990	X
cg01043588	X
cg01044189	X
cg01046746	X
cg01051089	X
cg01052065	X
cg01054612	X
cg01055931	X
cg01056373	X
cg01057599	X
cg01058588	X
cg01058688	X
cg01058932	X
cg01062269	X
cg01063406	X
cg01063768	X
cg01064194	X
cg01067505	X
cg01069311	X
cg01070223	X
cg01072750	X
cg01076406	X
cg01078565	X
cg01078706	X
cg01079126	X
cg01080552	X
cg01080862	X
cg01081720	X
cg01083397	X
cg01084328	X
cg01084827	X
cg01086868	X
cg01087287	X
cg01087775	X
cg01098518	X
cg01098871	X
cg01099541	X
cg01104131	X
cg01104810	X
cg01108554	X
cg01109012	X
cg01109660	X
cg01110418	X
cg01110765	X
cg01112232	X
cg01112452	X
cg01112624	X
cg01112702	X
cg01112930	X
cg01114138	X
cg01114504	X
cg01115560	X
cg01115636	X
cg01118900	X
cg01119520	X
cg01119763	X
cg01120006	X
cg01120894	X
cg01121830	X
cg01123965	X
cg01125381	X
cg01127291	X
cg01127586	X
cg01131699	X
cg01131961	X
cg01132485	X
cg01133413	X
cg01134144	X
cg01134497	X
cg01135626	X
cg01137368	X
cg01138740	X
cg01140782	X
cg01142317	X
cg01143780	X
cg01145939	X
cg01146870	X
cg01150083	X
cg01151305	X
cg01162841	X
cg01162900	X
cg01166930	X
cg01169440	X
cg01169463	X
cg01172484	X
cg01172526	X
cg01173474	X
cg01173508	X
cg01177664	X
cg01177972	X
cg01178063	X
cg01186310	X
cg01187510	X
cg01191578	X
cg01191832	X
cg01191902	X
cg01193954	X
cg01195014	X
cg01203948	X
cg01207481	X
cg01207755	X
cg01210880	X
cg01212429	X
cg01212677	X
cg01212903	X
cg01215061	X
cg01215118	X
cg01215761	X
cg01218690	X
cg01219451	X
cg01220513	X
cg01222180	X
cg01225298	X
cg01227136	X
cg01228667	X
cg01231576	X
cg01241836	X
cg01243226	X
cg01244877	X
cg01245531	X
cg01257202	X
cg01274846	X
cg01275664	X
cg01279057	X
cg01280366	X
cg01282374	X
cg01282661	X
cg01283227	X
cg01284128	X
cg01286388	X
cg01288367	X
cg01289637	X
cg01290688	X
cg01290869	X
cg01293271	X
cg01293417	X
cg01296971	X
cg01301326	X
cg01302641	X
cg01303569	X
cg01306265	X
cg01307615	X
cg01307742	X
cg01308913	X
cg01309671	X
cg01310267	X
cg01314643	X
cg01316390	X
cg01317752	X
cg01318188	X
cg01319581	X
cg01321220	X
cg01321830	X
cg01325935	X
cg01326358	X
cg01327767	X
cg01331780	X
cg01333849	X
cg01336098	X
cg01336631	X
cg01337545	X
cg01337817	X
cg01340520	X
cg01342901	X
cg01343084	X
cg01345087	X
cg01348758	X
cg01348942	X
cg01349336	X
cg01349480	X
cg01353347	X
cg01353788	X
cg01353903	X
cg01354447	X
cg01355242	X
cg01359309	X
cg01361446	X
cg01364253	X
cg01364818	X
cg01364907	X
cg01366378	X
cg01368763	X
cg01370077	X
cg01370179	X
cg01372422	X
cg01372992	X
cg01373750	X
cg01374431	X
cg01374885	X
cg01375263	X
cg01375994	X
cg01377936	X
cg01378112	X
cg01379263	X
cg01381545	X
cg01382771	X
cg01383228	X
cg01383599	X
cg01384686	X
cg01386236	X
cg01396530	X
cg01397290	X
cg01398148	X
cg01398859	X
cg01398912	X
cg01404374	X
cg01404988	X
cg01405303	X
cg01408260	X
cg01408383	X
cg01408682	X
cg01409685	X
cg01410230	X
cg01411845	X
cg01413240	X
cg01413291	X
cg01413492	X
cg01415112	X
cg01419069	X
cg01423027	X
cg01426251	X
cg01430241	X
cg01434723	X
cg01436914	X
cg01445307	X
cg01448525	X
cg01460974	X
cg01461762	X
cg01462040	X
cg01463832	X
cg01465073	X
cg01466335	X
cg01466576	X
cg01467086	X
cg01467249	X
cg01472026	X
cg01472347	X
cg01473187	X
cg01473525	X
cg01475387	X
cg01477427	X
cg01479413	X
cg01480550	X
cg01483252	X
cg01486020	X
cg01488378	X
cg01490258	X
cg01494339	X
cg01498090	X
cg01501252	X
cg01514943	X
cg01522249	X
cg01522335	X
cg01523763	X
cg01523865	X
cg01528616	X
cg01528835	X
cg01529679	X
cg01530162	X
cg01530521	X
cg01533115	X
cg01534758	X
cg01537968	X
cg01538344	X
cg01540386	X
cg01540916	X
cg01542035	X
cg01543116	X
cg01545419	X
cg01555661	X
cg01556010	X
cg01556112	X
cg01556519	X
cg01558501	X
cg01559064	X
cg01560464	X
cg01560885	X
cg01562833	X
cg01563671	X
cg01564045	X
cg01564333	X
cg01564693	X
cg01567000	X
cg01568488	X
cg01570817	X
cg01573544	X
cg01573782	X
cg01575816	X
cg01576669	X
cg01577514	X
cg01577745	X
cg01579322	X
cg01581349	X
cg01589255	X
cg01592490	X
cg01593269	X
cg01596349	X
cg01597947	X
cg01598357	X
cg01600123	X
cg01600263	X
cg01607721	X
cg01609611	X
cg01614387	X
cg01627510	X
cg01632517	X
cg01634761	X
cg01640808	X
cg01645836	X
cg01647019	X
cg01651728	X
cg01662650	X
cg01663055	X
cg01666573	X
cg01668271	X
cg01668907	X
cg01669374	X
cg01671070	X
cg01673454	X
cg01673753	X
cg01674874	X
cg01679167	X
cg01680245	X
cg01683788	X
cg01698523	X
cg01704778	X
cg01706033	X
cg01710449	X
cg01713430	X
cg01714671	X
cg01716666	X
cg01717812	X
cg01718602	X
cg01725669	X
cg01728536	X
cg01730177	X
cg01730928	X
cg01731542	X
cg01732428	X
cg01733439	X
cg01737010	X
cg01737421	X
cg01737550	X
cg01740135	X
cg01742164	X
cg01742836	X
cg01747155	X
cg01747278	X
cg01752030	X
cg01752898	X
cg01755224	X
cg01755617	X
cg01756638	X
cg01757402	X
cg01758418	X
cg01758988	X
cg01759889	X
cg01760027	X
cg01760227	X
cg01761453	X
cg01762011	X
cg01765758	X
cg01768144	X
cg01771673	X
cg01773478	X
cg01776229	X
cg01776396	X
cg01777017	X
cg01780361	X
cg01780412	X
cg01786460	X
cg01786967	X
cg01792733	X
cg01794548	X
cg01796247	X
cg01798163	X
cg01798375	X
cg01804836	X
cg01807688	X
cg01807728	X
cg01809408	X
cg01813224	X
cg01813276	X
cg01813294	X
cg01814152	X
cg01814235	X
cg01816615	X
cg01817069	X
cg01817230	X
cg01818727	X
cg01819787	X
cg01821005	X
cg01821772	X
cg01821906	X
cg01823238	X
cg01824095	X
cg01825872	X
cg01826283	X
cg01828434	X
cg01828474	X
cg01829822	X
cg01831199	X
cg01831944	X
cg01832419	X
cg01834528	X
cg01843978	X
cg01847754	X
cg01850541	X
cg01851385	X
cg01852560	X
cg01852992	X
cg01854931	X
cg01855997	X
cg01856640	X
cg01857253	X
cg01857704	X
cg01859586	X
cg01860821	X
cg01864032	X
cg01864404	X
cg01866066	X
cg01868753	X
cg01869765	X
cg01871025	X
cg01872771	X
cg01873087	X
cg01874426	X
cg01878825	X
cg01881753	X
cg01882566	X
cg01884384	X
cg01885202	X
cg01886630	X
cg01886810	X
cg01887353	X
cg01887803	X
cg01888389	X
cg01891172	X
cg01892695	X
cg01893797	X
cg01895141	X
cg01896298	X
cg01905377	X
cg01906102	X
cg01906946	X
cg01908742	X
cg01909378	X
cg01910452	X
cg01911846	X
cg01912769	X
cg01913024	X
cg01913196	X
cg01915804	X
cg01916066	X
cg01918534	X
cg01923531	X
cg01924074	X
cg01924982	X
cg01927625	X
cg01932223	X
cg01938887	X
cg01947226	X
cg01948589	X
cg01951307	X
cg01954531	X
cg01959381	X
cg01960534	X
cg01961936	X
cg01962233	X
cg01962414	X
cg01963147	X
cg01963258	X
cg01970554	X
cg01971322	X
cg01972979	X
cg01975035	X
cg01975591	X
cg01980778	X
cg01984250	X
cg01985071	X
cg01986775	X
cg01987196	X
cg01988541	X
cg01990106	X
cg01990433	X
cg01990854	X
cg01991530	X
cg01992935	X
cg01993928	X
cg01994890	X
cg01996723	X
cg01996818	X
cg01996909	X
cg01997410	X
cg01997953	X
cg01999076	X
cg01999212	X
cg02004156	X
cg02007259	X
cg02010442	X
cg02012821	X
cg02014085	X
cg02015411	X
cg02019068	X
cg02019635	X
cg02020018	X
cg02022247	X
cg02023473	X
cg02025065	X
cg02025206	X
cg02026371	X
cg02027189	X
cg02031392	X
cg02031980	X
cg02032561	X
cg02033323	X
cg02035698	X
cg02035866	X
cg02041067	X
cg02042142	X
cg02042698	X
cg02048654	X
cg02049865	X
cg02053896	X
cg02054710	X
cg02055404	X
cg02055547	X
cg02058632	X
cg02059755	X
cg02060618	X
cg02061213	X
cg02061906	X
cg02062238	X
cg02063752	X
cg02064569	X
cg02068976	X
cg02077027	X
cg02079156	X
cg02082650	X
cg02095003	X
cg02095995	X
cg02096520	X
cg02110822	X
cg02112649	X
cg02116333	X
cg02117996	X
cg02120013	X
cg02120046	X
cg02121672	X
cg02124059	X
cg02124085	X
cg02127807	X
cg02129889	X
cg02132188	X
cg02144050	X
cg02148711	X
cg02150469	X
cg02151408	X
cg02151779	X
cg02153534	X
cg02154531	X
cg02155675	X
cg02155838	X
cg02156712	X
cg02156782	X
cg02157475	X
cg02161125	X
cg02161824	X
cg02161919	X
cg02165720	X
cg02166322	X
cg02166601	X
cg02167358	X
cg02167456	X
cg02168925	X
cg02169289	X
cg02171705	X
cg02173072	X
cg02177607	X
cg02179029	X
cg02179438	X
cg02179880	X
cg02180347	X
cg02180505	X
cg02180853	X
cg02183297	X
cg02184147	X
cg02185190	X
cg02187432	X
cg02188048	X
cg02188515	X
cg02188860	X
cg02189483	X
cg02190600	X
cg02193580	X
cg02195366	X
cg02195925	X
cg02198544	X
cg02200373	X
cg02201836	X
cg02205962	X
cg02210067	X
cg02211783	X
cg02211869	X
cg02212061	X
cg02212907	X
cg02213813	X
cg02214597	X
cg02215374	X
cg02216057	X
cg02223323	X
cg02225164	X
cg02226388	X
cg02229344	X
cg02231229	X
cg02232536	X
cg02232922	X
cg02233493	X
cg02239640	X
cg02261899	X
cg02263204	X
cg02263509	X
cg02263675	X
cg02263717	X
cg02264182	X
cg02264284	X
cg02265919	X
cg02266197	X
cg02268650	X
cg02272668	X
cg02273788	X
cg02274705	X
cg02275016	X
cg02275875	X
cg02275924	X
cg02276461	X
cg02279124	X
cg02279464	X
cg02283106	X
cg02283535	X
cg02285254	X
cg02285579	X
cg02286623	X
cg02288017	X
cg02288667	X
cg02291897	X
cg02293258	X
cg02295369	X
cg02295504	X
cg02301364	X
cg02308199	X
cg02311013	X
cg02318959	X
cg02326006	X
cg02327549	X
cg02329520	X
cg02330362	X
cg02332456	X
cg02333283	X
cg02336026	X
cg02336608	X
cg02337670	X
cg02341380	X
cg02345317	X
cg02350883	X
cg02352295	X
cg02353937	X
cg02354343	X
cg02360119	X
cg02360578	X
cg02362246	X
cg02366635	X
cg02369904	X
cg02370478	X
cg02376524	X
cg02379437	X
cg02386310	X
cg02388446	X
cg02392508	X
cg02393514	X
cg02395364	X
cg02396917	X
cg02402307	X
cg02413104	X
cg02416822	X
cg02417823	X
cg02419467	X
cg02424254	X
cg02424670	X
cg02425869	X
cg02433685	X
cg02433927	X
cg02437314	X
cg02438576	X
cg02442693	X
cg02447370	X
cg02454309	X
cg02456261	X
cg02457752	X
cg02458532	X
cg02459151	X
cg02459704	X
cg02469604	X
cg02471578	X
cg02480419	X
cg02490931	X
cg02492445	X
cg02492740	X
cg02495057	X
cg02495306	X
cg02495445	X
cg02496423	X
cg02497062	X
cg02497718	X
cg02498747	X
cg02501924	X
cg02504280	X
cg02504617	X
cg02505036	X
cg02506527	X
cg02510708	X
cg02512611	X
cg02514307	X
cg02522370	X
cg02523105	X
cg02529390	X
cg02533866	X
cg02534780	X
cg02537091	X
cg02537612	X
cg02538330	X
cg02539591	X
cg02540297	X
cg02540440	X
cg02540826	X
cg02541160	X
cg02543363	X
cg02546818	X
cg02547155	X
cg02547167	X
cg02547323	X
cg02549418	X
cg02559685	X
cg02560273	X
cg02564124	X
cg02569468	X
cg02573613	X
cg02575859	X
cg02576548	X
cg02579620	X
cg02580986	X
cg02581653	X
cg02581727	X
cg02582887	X
cg02583883	X
cg02586883	X
cg02587153	X
cg02588867	X
cg02589074	X
cg02590287	X
cg02590710	X
cg02597128	X
cg02599583	X
cg02600622	X
cg02600772	X
cg02602182	X
cg02602300	X
cg02602528	X
cg02603022	X
cg02604836	X
cg02611122	X
cg02615131	X
cg02616434	X
cg02616921	X
cg02620228	X
cg02621658	X
cg02623256	X
cg02623604	X
cg02624484	X
cg02625237	X
cg02626719	X
cg02629615	X
cg02629737	X
cg02634083	X
cg02634141	X
cg02634916	X
cg02637882	X
cg02637978	X
cg02639619	X
cg02639793	X
cg02644889	X
cg02645343	X
cg02647042	X
cg02647401	X
cg02649608	X
cg02651788	X
cg02665388	X
cg02671603	X
cg02678356	X
cg02684842	X
cg02685544	X
cg02690554	X
cg02693068	X
cg02698615	X
cg02699127	X
cg02702444	X
cg02710173	X
cg02712399	X
cg02714202	X
cg02714462	X
cg02714492	X
cg02722239	X
cg02723311	X
cg02725485	X
cg02725692	X
cg02726808	X
cg02732801	X
cg02733596	X
cg02733659	X
cg02734755	X
cg02741829	X
cg02742139	X
cg02742918	X
cg02742990	X
cg02743552	X
cg02746718	X
cg02752267	X
cg02754763	X
cg02755446	X
cg02756254	X
cg02756511	X
cg02758183	X
cg02763888	X
cg02764898	X
cg02769235	X
cg02770249	X
cg02770794	X
cg02772106	X
cg02772823	X
cg02773050	X
cg02773151	X
cg02773688	X
cg02774269	X
cg02775175	X
cg02775256	X
cg02779592	X
cg02779729	X
cg02784144	X
cg02791948	X
cg02799972	X
cg02803670	X
cg02804166	X
cg02804708	X
cg02804757	X
cg02805922	X
cg02809570	X
cg02810043	X
cg02811156	X
cg02811588	X
cg02812399	X
cg02814558	X
cg02817683	X
cg02817946	X
cg02818322	X
cg02819256	X
cg02819404	X
cg02821380	X
cg02830187	X
cg02830744	X
cg02830865	X
cg02831668	X
cg02834125	X
cg02835735	X
cg02836821	X
cg02839824	X
cg02841824	X
cg02847500	X
cg02853686	X
cg02855049	X
cg02856792	X
cg02857405	X
cg02858817	X
cg02859554	X
cg02860323	X
cg02864732	X
cg02868201	X
cg02869694	X
cg02871887	X
cg02875834	X
cg02877744	X
cg02878966	X
cg02879223	X
cg02879659	X
cg02880544	X
cg02881531	X
cg02882301	X
cg02883100	X
cg02890529	X
cg02890812	X
cg02892589	X
cg02893780	X
cg02894810	X
cg02895192	X
cg02896361	X
cg02896496	X
cg02902015	X
cg02904064	X
cg02904184	X
cg02907441	X
cg02907689	X
cg02909397	X
cg02910451	X
cg02912158	X
cg02914047	X
cg02915422	X
cg02918903	X
cg02921294	X
cg02921434	X
cg02923300	X
cg02924298	X
cg02929371	X
cg02931149	X
cg02931660	X
cg02932763	X
cg02932805	X
cg02934226	X
cg02934281	X
cg02935635	X
cg02936076	X
cg02936290	X
cg02937293	X
cg02938958	X
cg02939216	X
cg02939364	X
cg02940028	X
cg02940221	X
cg02944422	X
cg02949713	X
cg02952681	X
cg02952729	X
cg02953041	X
cg02954623	X
cg02969243	X
cg02971064	X
cg02971392	X
cg02971902	X
cg02973417	X
cg02973734	X
cg02973971	X
cg02975846	X
cg02977829	X
cg02981877	X
cg02989381	X
cg02990147	X
cg02991082	X
cg02992767	X
cg02992777	X
cg02994237	X
cg02994943	X
cg02997061	X
cg02998206	X
cg02998933	X
cg02999370	X
cg03003036	X
cg03003060	X
cg03005718	X
cg03008405	X
cg03010388	X
cg03019024	X
cg03019842	X
cg03020597	X
cg03021892	X
cg03022736	X
cg03022791	X
cg03024957	X
cg03025340	X
cg03025466	X
cg03025760	X
cg03026311	X
cg03027462	X
cg03028216	X
cg03028851	X
cg03031357	X
cg03031520	X
cg03035653	X
cg03038395	X
cg03039483	X
cg03040210	X
cg03043267	X
cg03043405	X
cg03043911	X
cg03044250	X
cg03046946	X
cg03048084	X
cg03050491	X
cg03055372	X
cg03056321	X
cg03056849	X
cg03057808	X
cg03058616	X
cg03060488	X
cg03073000	X
cg03088756	X
cg03089994	X
cg03090449	X
cg03094405	X
cg03096488	X
cg03100923	X
cg03100992	X
cg03101044	X
cg03102729	X
cg03102848	X
cg03104298	X
cg03120461	X
cg03121419	X
cg03122476	X
cg03122511	X
cg03128268	X
cg03130686	X
cg03139204	X
cg03140487	X
cg03147775	X
cg03149049	X
cg03157806	X
cg03159767	X
cg03159836	X
cg03161453	X
cg03164831	X
cg03165260	X
cg03166428	X
cg03169432	X
cg03171708	X
cg03172171	X
cg03174501	X
cg03176466	X
cg03177323	X
cg03181214	X
cg03183094	X
cg03183106	X
cg03184366	X
cg03188519	X
cg03189022	X
cg03191083	X
cg03191149	X
cg03191359	X
cg03197110	X
cg03198117	X
cg03199955	X
cg03201165	X
cg03201658	X
cg03202526	X
cg03204600	X
cg03206476	X
cg03210191	X
cg03210912	X
cg03211244	X
cg03212133	X
cg03213202	X
cg03213502	X
cg03219705	X
cg03221436	X
cg03223687	X
cg03224792	X
cg03236853	X
cg03240752	X
cg03244432	X
cg03244736	X
cg03245429	X
cg03246590	X
cg03248529	X
cg03250346	X
cg03250911	X
cg03252296	X
cg03266942	X
cg03267527	X
cg03267667	X
cg03267787	X
cg03269770	X
cg03272642	X
cg03273606	X
cg03273615	X
cg03273694	X
cg03273860	X
cg03274069	X
cg03278754	X
cg03280420	X
cg03289972	X
cg03291819	X
cg03305185	X
cg03310203	X
cg03313909	X
cg03315431	X
cg03315531	X
cg03317455	X
cg03319489	X
cg03321558	X
cg03323167	X
cg03323437	X
cg03325532	X
cg03327000	X
cg03328165	X
cg03329583	X
cg03331695	X
cg03332892	X
cg03334316	X
cg03335173	X
cg03341064	X
cg03345068	X
cg03347749	X
cg03348338	X
cg03350825	X
cg03350932	X
cg03351894	X
cg03353482	X
cg03356806	X
cg03357510	X
cg03359503	X
cg03360001	X
cg03360374	X
cg03361581	X
cg03363535	X
cg03364121	X
cg03369029	X
cg03369828	X
cg03370193	X
cg03370682	X
cg03371833	X
cg03372815	X
cg03374735	X
cg03375088	X
cg03382925	X
cg03391801	X
cg03422380	X
cg03423123	X
cg03424637	X
cg03424927	X
cg03426344	X
cg03426470	X
cg03435229	X
cg03435878	X
cg03440272	X
cg03440485	X
cg03440535	X
cg03445679	X
cg03445896	X
cg03447800	X
cg03448884	X
cg03449040	X
cg03450733	X
cg03454364	X
cg03455762	X
cg03460546	X
cg03460558	X
cg03464416	X
cg03464883	X
cg03465562	X
cg03465847	X
cg03469514	X
cg03470745	X
cg03477368	X
cg03478540	X
cg03478816	X
cg03484234	X
cg03485809	X
cg03487706	X
cg03487966	X
cg03505772	X
cg03506684	X
cg03508597	X
cg03509565	X
cg03509908	X
cg03512369	X
cg03512439	X
cg03513471	X
cg03514678	X
cg03517379	X
cg03518772	X
cg03523119	X
cg03523199	X
cg03523360	X
cg03523884	X
cg03527511	X
cg03534718	X
cg03536032	X
cg03537243	X
cg03537374	X
cg03544771	X
cg03552552	X
cg03553451	X
cg03553781	X
cg03554089	X
cg03554855	X
cg03558222	X
cg03559234	X
cg03575468	X
cg03576039	X
cg03576235	X
cg03577944	X
cg03578806	X
cg03580328	X
cg03590418	X
cg03595428	X
cg03598440	X
cg03598919	X
cg03598947	X
