PROBE,%
cg25356066,5
cg00244920,5
cg17055934,5
cg16523115,5
cg27126555,5
cg10336025,5
cg11664223,5
cg22843488,5
cg22069745,5
cg02319829,5
cg11108991,5
cg18576883,5
cg16725607,5
cg21909391,5
cg22352709,5
cg14924510,5
cg00290039,5
cg04220779,5
cg23987648,5
cg21333406,5
cg22326227,5
cg25984423,5
cg25984423,5
cg18162059,5
cg17111663,5
cg22511951,5
cg15970860,5
cg23912024,5
cg10420517,5
cg24159251,5
cg10421990,5
cg11106864,5
cg14207326,5
cg07485423,5
cg13385016,5
cg10620484,5
cg05833629,5
cg27050912,5
cg24135923,5
cg12454925,5
cg06176987,5
cg22472863,5
cg04419157,5
cg03554878,5
cg18315248,5
cg21171610,5
cg24524522,5
cg00517535,5
cg04764474,5
cg12716346,5
cg17004893,5
cg14149107,5
cg12869097,5
cg02517294,5
cg01135950,5
cg12925904,5
cg11703222,5
cg19115205,5
cg16670809,5
cg07611121,5
cg03314137,5
cg00965991,5
cg01063413,5
cg16200469,5
cg04671659,5
cg07457272,5
cg16700426,5
cg05884167,5
cg21902325,5
cg07192614,5
cg03217744,5
cg19239342,5
cg22660197,5
cg18235278,5
cg12841692,5
cg03998053,5
cg22793065,5
cg05580809,5
cg24015282,5
cg03456338,5
cg09730955,5
cg08531042,5
cg02667022,5
cg16415875,5
cg09483595,5
cg22984898,5
cg25399998,5
cg19613915,5
cg18519087,5
cg20687255,5
cg18104870,5
cg27126508,5
cg07281281,5
cg07450671,5
cg02521389,5
cg20619695,5
cg25213055,5
cg08068635,5
cg20807872,5
cg00217868,5
cg12104547,5
cg12539124,5
cg03967327,5
cg01487542,5
cg16035267,5
cg25193571,5
cg00937691,5
cg03495632,5
cg09483891,5
cg09470907,5
cg24091270,5
cg24823979,5
cg08072458,5
cg11516226,5
cg05988603,5
cg14389539,5
cg06807168,5
cg01016122,5
cg10807309,5
cg11931646,5
cg02715072,5
cg13378486,5
cg11478766,5
cg25664050,5
cg10989981,5
cg22233843,5
cg08019449,5
cg10123514,5
cg00326788,5
cg25578822,5
cg17235827,5
cg07139794,5
cg08637389,5
cg04845615,5
cg21159120,5
cg02284014,5
cg22048348,5
cg05265771,5
cg27248041,5
cg14122723,5
cg16087430,5
cg03809898,5
cg09534243,5
cg12894371,5
cg08376209,5
cg19200561,5
cg05976623,5
cg21089903,5
cg01818492,5
cg00188089,5
cg23778978,5
cg21526238,5
cg21162242,5
cg12227626,5
cg07586863,5
cg26797797,5
cg19243721,5
cg12215675,5
cg25821135,5
cg26286154,5
cg21291349,5
cg00876142,5
cg23730649,5
cg02085097,5
cg21236386,5
cg27161374,5
cg24028627,5
cg00461682,5
cg23999454,5
cg25765264,5
cg24899294,5
cg23099265,5
cg04752818,5
cg11496291,5
cg17803235,5
cg27064927,5
cg08119150,5
cg26859469,5
cg03906697,5
cg17924520,5
cg20328736,5
cg11071273,5
cg18553677,5
cg24290251,5
cg00924052,5
cg27070397,5
cg10989138,5
cg05282889,5
cg02342754,5
cg21216351,5
cg16476432,5
cg07235057,5
cg26169299,5
cg24764114,5
cg18532316,5
cg03094796,5
cg01174235,5
cg18386942,5
cg21008363,5
cg11075273,5
cg22110839,5
cg09412369,5
cg07478454,5
cg11367354,5
cg13213997,5
cg00014377,5
ch.7.102590751F,5
cg10611947,5
cg04105014,5
cg04105014,5
cg04105014,5
cg17063731,5
cg16460164,5
cg16576544,5
cg07315018,5
cg00663946,5
cg20847733,5
cg16608772,5
cg12784228,5
cg08234897,5
cg07470532,5
cg25102742,5
cg11183535,5
cg25319656,5
cg00035398,5
cg08183793,5
cg16811129,5
cg05956943,5
cg19877248,5
cg08884476,5
cg00172085,5
cg02151632,5
cg22624147,5
cg14347819,5
cg12813802,5
cg25516633,5
cg13513498,5
cg27485289,5
cg09557047,5
cg17210130,5
cg10424125,5
cg11123619,5
cg14829660,5
cg06703844,5
cg02624298,5
cg06617490,5
cg19108800,5
cg09066427,5
cg14137281,5
cg13573371,5
cg14511393,5
cg13858145,5
cg04881348,5
cg13845724,5
cg04714076,5
cg13728604,5
cg14364797,5
cg01474677,5
cg14294971,5
cg14381371,5
cg18603943,5
cg14333779,5
cg14264159,5
cg00518468,5
cg13692416,5
cg03706875,5
cg19120273,5
cg06008406,5
cg13717425,5
cg11136592,5
cg13371501,5
cg24612923,5
cg27604841,5
cg11908864,5
cg25626166,5
cg03367264,5
cg08476832,5
cg07414422,5
cg26106166,5
cg19301501,5
cg02279356,5
cg06748005,5
cg13171004,5
cg03474461,5
cg23785761,5
cg07693523,5
cg11095743,5
cg19841653,5
cg27190943,5
cg18860280,5
cg17214222,5
cg25014286,5
cg03848421,5
cg14223181,5
cg01474840,5
cg24103651,5
cg06275788,5
cg03293837,5
cg11496014,5
cg07189673,5
cg01337736,5
cg14375985,5
cg11352256,5
cg24420981,5
cg14129786,5
cg11621301,5
cg08434399,5
cg12043106,5
cg14912388,5
cg20072437,5
cg25307077,5
cg23651707,5
cg20741605,5
cg16740640,5
cg03416564,5
cg15651907,5
cg09519326,5
cg18493115,5
cg04833630,5
cg10148542,5
cg07146321,5
cg03271487,5
cg20805368,5
cg27246251,5
cg14089425,5
cg06288089,5
cg24281117,5
cg22117086,5
cg07656579,5
cg16609139,5
cg23595304,5
cg13319761,5
cg06242417,5
cg14197881,5
cg22254313,5
cg16623941,5
cg15808568,5
cg17517138,5
cg17355865,5
cg04801779,5
cg11527436,5
cg26592560,5
cg10864394,5
cg05904430,5
cg22997974,5
cg14190451,5
cg12027843,5
cg22620689,5
cg11972554,5
cg12264934,5
cg00298475,5
cg10071059,5
cg12142888,5
cg06532877,5
cg24231148,5
cg20667825,5
cg09097632,5
cg12204173,5
cg20574502,5
cg26311454,5
cg07805817,5
cg03567117,5
cg23600372,5
cg15473481,5
cg25178500,5
cg12516686,5
cg02587993,5
cg13425650,5
cg24393009,5
cg06613547,5
cg01394034,5
cg01905902,5
cg01471537,5
cg27479759,5
cg11240495,5
cg16260888,5
cg01613406,5
cg01048187,5
cg26382080,5
cg09442744,5
cg21000048,5
cg16883901,5
cg01342858,5
cg01798024,5
cg27481272,5
cg11356552,5
cg01705495,5
cg21113640,5
cg01917048,5
cg24706532,5
cg19989277,5
cg14240634,5
cg13105110,5
cg02537941,5
cg20029657,5
cg08668281,5
cg25341738,5
cg00076854,5
cg18756657,5
cg26756769,5
cg17200748,5
cg22727432,5
cg22397713,5
cg03349905,5
cg01277451,5
cg19822890,5
cg18680335,5
cg01939883,5
cg22491001,5
cg24360892,5
cg27389908,5
cg02196036,5
cg26185920,5
cg11355297,5
cg25425994,5
cg22963791,5
cg01021719,5
cg04966851,5
cg04885581,5
cg11817650,5
cg14035860,5
cg04157138,5
cg01066357,5
cg23181950,5
cg20076126,5
cg23576118,5
cg18078491,5
cg23459174,5
cg20492230,5
cg13144484,5
cg18137598,5
cg06737630,5
cg26337624,5
cg01221582,5
cg13143330,5
cg17341790,5
cg15847936,5
cg02963381,5
cg13194353,5
cg21482345,5
cg23741255,5
cg23390684,5
cg06899226,5
cg08293324,5
cg19691260,5
cg09927287,5
cg01818369,5
cg02031121,5
cg13626582,5
cg10167978,5
cg22390633,5
cg06797501,5
cg12659158,5
cg01451277,5
cg03906444,5
cg12096354,5
cg15443069,5
cg12296127,5
cg11317377,5
cg18200261,5
cg22453634,5
cg08296868,5
cg03004371,5
cg16658177,5
cg08694735,5
cg09135239,5
cg27108949,5
cg08145839,5
cg04480052,5
cg08227260,5
cg04317707,5
cg01567115,5
cg09721516,5
cg04707255,5
cg03485240,5
cg16468174,5
cg05894115,5
cg10307230,5
cg10307230,5
cg02950621,5
cg08778316,5
cg07770360,5
cg09243507,5
cg09779339,5
cg09507561,5
cg00938050,5
cg02227002,5
cg03509079,5
cg02728223,5
cg05922714,5
cg05997655,5
cg26554353,5
cg08620313,5
cg16623098,5
cg26561810,5
cg04758329,5
cg02830555,5
cg27047353,5
cg05713294,5
cg04621455,5
cg04946275,5
cg07473590,5
cg06778639,5
cg09002351,5
cg01344056,5
cg01494083,5
cg09920061,5
cg06867910,5
cg00245000,5
cg01968683,5
cg25747059,5
cg26173420,5
cg10947494,5
cg01990878,5
cg08456043,5
cg18436272,5
cg02478369,5
cg18979559,5
cg25002069,5
cg05527721,5
cg03769704,5
cg10760240,5
cg20276743,5
cg18016730,5
cg00979803,5
cg02735736,5
cg22803772,5
cg13133387,5
cg02622647,5
cg20430263,5
cg11189272,5
cg15891310,5
cg25220961,5
cg16808922,5
cg14225195,5
cg13101963,5
cg05627441,5
cg14773822,5
cg01899544,5
cg26610542,5
cg22290140,5
cg01401135,5
cg17999122,5
cg07446795,5
cg17888563,5
cg26954228,5
cg20814202,5
cg27406472,5
cg27062060,5
cg16592596,5
cg25010115,5
cg08311321,5
cg20793072,5
cg27358469,5
cg03159252,5
cg04169328,5
cg05649427,5
cg05718393,5
cg09999510,5
cg22634611,5
cg23935113,5
cg25247636,5
cg25354248,5
cg16857428,5
cg12317676,5
cg18077068,5
cg12137530,5
cg19757526,5
cg00506198,5
cg22717378,5
cg06711873,5
cg11685134,5
cg25959821,5
cg15248132,5
cg26586942,5
cg11774499,5
cg00537984,5
cg04864083,5
cg23096558,5
cg06486093,5
cg26727538,5
cg07523712,5
cg01067405,5
cg12162337,5
cg15977432,5
cg03279985,5
cg26645879,5
cg13208584,5
cg01688202,5
cg10919107,5
cg15759897,5
cg05954273,5
cg15550113,5
cg03775628,5
cg04529713,5
cg00628766,5
cg09552402,5
cg17343385,5
cg02339015,5
cg02239586,5
cg06212876,5
cg20349024,5
cg24573261,5
cg06233018,5
cg23813082,5
cg06068803,5
cg02647869,5
cg01273962,5
cg00159953,5
cg18761958,5
cg02975187,5
cg25841888,5
cg18613390,5
cg25979829,5
cg22106220,5
cg00408876,5
cg26475912,5
cg00785112,5
cg25895695,5
cg01775468,5
cg17519545,5
cg19252607,5
cg05886698,5
cg04740028,5
cg22193343,5
cg07054622,5
cg22014878,5
cg10047502,5
cg26376705,5
cg08177445,5
cg07679432,5
cg10625579,6
cg22517653,6
cg11236641,6
cg09429529,6
cg02764188,6
cg06176944,6
cg05398737,6
cg16655404,6
cg27168045,6
cg13873324,6
cg19587534,6
cg10144473,6
cg25102653,6
cg26112343,6
cg24640697,6
cg20868359,6
cg03470025,6
cg21220387,6
cg25593380,6
cg18376472,6
cg05158293,6
cg10953225,6
cg09576532,6
cg21859421,6
cg00406188,6
cg15122621,6
cg22821763,6
cg06084534,6
cg24316171,6
cg13975989,6
cg06798661,6
cg02086866,6
cg26659797,6
cg15933028,6
cg09766355,6
cg15505700,6
cg04292976,6
cg09134179,6
cg08707786,6
cg22481673,6
cg20568108,6
cg16257868,6
cg21826272,6
cg17874053,6
cg24412204,6
cg13273076,6
cg24270083,6
cg05755715,6
cg02744713,6
cg00040103,6
cg13423075,6
cg10668121,6
cg13649600,6
cg14549485,6
cg07143583,6
cg11015768,6
cg27445883,6
cg06064861,6
cg05307452,6
cg16512708,6
cg08451726,6
cg11299177,6
cg18477117,6
cg14252237,6
cg12732365,6
cg18791048,6
cg02448395,6
cg20126741,6
cg11207793,6
cg01803886,6
cg12146699,6
cg07310588,6
cg05481961,6
cg05449164,6
cg04068784,6
cg04527470,6
cg07759478,6
cg21841632,6
cg21444500,6
cg25951177,6
cg08652300,6
cg00867018,6
cg10503359,6
cg19953917,6
cg07753510,6
cg24310293,6
cg03275851,6
cg24671330,6
cg10364645,6
cg12837321,6
cg02099267,6
cg20890325,6
cg07748255,6
cg12456927,6
cg00771026,6
cg12075262,6
cg05492700,6
cg03529900,6
cg10270211,6
cg03457281,6
cg26311514,6
cg20058799,6
cg04478180,6
cg19409579,6
cg04495500,6
cg23057687,6
cg22183243,6
cg01210264,6
cg05791544,6
cg02931266,6
cg05710982,6
cg03799790,6
cg26320830,6
cg07091392,6
cg16871385,6
cg06636485,6
cg22172143,6
cg06849895,6
cg05475488,6
cg12176654,6
cg09044498,6
cg24956452,6
cg08782356,6
cg24676664,6
cg09165004,6
cg16534315,6
cg21235415,6
cg18052823,6
cg11466188,6
cg18371769,6
cg05470963,6
cg06559925,6
cg21226754,6
cg26146888,6
cg27141889,6
cg06853587,6
cg03893333,6
cg16310579,6
cg24598700,6
cg06091086,6
cg11401394,6
cg00487351,6
cg05372765,6
cg01664300,6
cg21384857,6
cg22830202,6
cg03905442,6
cg05219421,6
cg11091004,6
cg03570577,6
cg06852544,6
cg21032476,6
cg03157605,6
cg04219001,6
cg13120424,6
cg21435957,6
cg22038249,6
cg00688756,6
cg19679920,6
cg13561028,6
cg20114524,6
cg04559908,6
cg11039913,6
cg23932846,6
cg05139028,6
cg01620360,6
cg12602923,6
cg17794996,6
cg22786898,6
cg07237769,6
cg16004593,6
cg00551313,6
cg24180805,6
cg02920196,6
cg09411910,6
cg03796735,6
cg16899306,6
cg04348707,6
cg07404352,6
cg11807238,6
cg10231028,6
cg03871930,6
cg06199753,6
cg13205771,6
cg08808205,6
cg11772013,6
cg20820557,6
cg08011863,6
cg04408379,6
cg18506678,6
cg24826784,6
cg17678867,6
cg02753444,6
cg23256235,6
cg14366007,6
cg24728770,6
cg23096377,6
cg16547271,6
cg02788633,6
cg13727108,6
cg08024992,6
cg04470905,6
cg22112000,6
cg07300502,6
cg24643514,6
cg10573751,6
cg10020612,6
cg20608215,6
cg20937750,6
cg22282498,6
cg14641909,6
cg18503247,6
cg01824316,6
cg01563774,6
cg23397287,6
cg16964206,6
cg10898776,6
cg01827933,6
cg08850310,6
cg21932484,6
cg07377288,6
cg22287094,6
cg17307926,6
cg01338296,6
cg09295021,6
cg22962698,6
cg17714861,6
cg20864326,6
cg08771408,6
cg01832665,6
cg21501305,6
cg21501305,6
cg10736303,6
cg02677286,6
cg25561821,6
cg26332903,6
cg10646465,6
cg22735391,6
cg09174817,6
cg22816596,6
cg07608385,6
cg22909083,6
cg15530658,6
cg11541601,6
cg15653209,6
cg21297996,6
cg07164820,6
cg13487422,6
cg17118775,6
cg16640691,6
cg23402824,6
cg08955792,6
cg25601086,6
cg13674372,6
cg23281456,6
cg24265957,6
cg27538206,6
cg05957246,6
cg23712522,6
cg14368972,6
cg14373718,6
cg14000676,6
cg13810332,6
cg13586926,6
cg14033059,6
cg09228599,6
cg14244493,6
cg01084963,6
cg06008406,6
cg15713378,6
cg12331041,6
cg12784458,6
cg19504528,6
cg08323596,6
cg09387681,6
cg06734577,6
cg24329141,6
cg13806489,6
cg19993440,6
cg07526816,6
cg24328142,6
cg05673937,6
cg11480019,6
cg11885324,6
cg16745159,6
cg02370832,6
cg20554832,6
cg23128967,6
cg06371091,6
cg02054619,6
cg09478205,6
cg24051234,6
cg03710196,6
cg09349613,6
cg05474128,6
cg00657202,6
cg25223354,6
cg07095337,6
cg10888902,6
cg05893230,6
cg00650614,6
cg12226682,6
cg03188793,6
cg20982011,6
cg12245912,6
cg17051552,6
cg02392269,6
cg03818572,6
cg18595348,6
cg22064475,6
cg08510253,6
cg01115070,6
cg02946903,6
cg14350224,6
cg20110284,6
cg07080031,6
cg03158218,6
cg11361409,6
cg06884304,6
cg24002907,6
cg12051762,6
cg09270285,6
cg21517812,6
cg26839410,6
cg08097520,6
cg05958872,6
cg01120761,6
cg12911449,6
cg12801863,6
cg04964733,6
cg17707635,6
cg12531498,6
cg13357812,6
cg25124058,6
cg26843567,6
cg12983460,6
cg24736543,6
cg00615735,6
cg11645735,6
cg17182540,6
cg13281547,6
cg11970733,6
cg10790575,6
cg21489391,6
cg23729279,6
cg18316254,6
cg24135151,6
cg07249343,6
cg22646054,6
cg05099240,6
cg01064898,6
cg14141328,6
cg00019196,6
cg02985540,6
cg08231130,6
cg25464235,6
cg11857567,6
cg07303247,6
cg19812826,6
cg24128998,6
cg23192614,6
cg27305029,6
cg12513911,6
cg00826626,6
cg22228134,6
cg22966986,6
cg01192172,6
cg04824818,6
cg03518493,6
cg15487261,6
cg23266747,6
cg01249823,6
cg01245766,6
cg02286193,6
cg05219829,6
cg16443633,6
cg05923056,6
cg11054397,6
cg03542797,6
cg14977707,6
cg14172454,6
cg05149720,6
cg06056644,6
cg26789068,6
cg00834472,6
cg01677142,6
cg20247523,6
cg00322062,6
cg19064304,6
cg01624571,6
cg08051804,6
cg05472380,6
cg22496102,6
cg17151123,6
cg10095033,6
cg27336587,6
cg03358735,6
cg05062889,6
cg03037401,6
cg04612030,6
cg27460734,6
cg21432375,6
cg08820590,6
cg08969669,6
cg07829209,6
cg05538118,6
cg00131870,6
cg08293392,6
cg07413957,6
cg09952366,6
cg18838182,6
cg10023572,6
cg26603047,6
cg04364752,6
cg27516925,6
cg05506007,6
cg15017149,6
cg05033939,6
cg04411941,6
cg17912345,6
cg09951588,6
cg16533363,6
cg09861450,6
cg14937607,6
cg16069157,6
cg24876773,6
cg22759173,6
cg24534731,6
cg26753307,6
cg26554699,6
cg05843788,6
cg02701825,6
cg12897844,6
cg18527716,6
cg22238660,6
cg05187322,6
cg07261940,6
cg00910107,6
cg05779523,6
cg18748973,6
cg21061582,6
cg00862307,6
cg17911318,6
cg12522833,6
cg23046934,6
cg11072794,6
cg25780551,6
cg13578393,6
cg11699126,6
cg27356165,6
cg02004886,6
cg19599395,6
cg16505856,6
cg12122464,6
cg12087891,6
cg07759206,6
cg12956688,6
cg22813097,6
cg23664533,6
cg27656286,6
cg21944491,6
cg06210526,6
cg01454153,6
cg17522207,6
cg11474878,6
cg03101345,6
cg15554966,6
cg19216475,6
cg27159673,6
cg25710008,6
cg25161252,6
cg19302210,6
cg16595760,6
cg13813388,6
cg00593446,6
cg23851359,6
cg16844425,6
cg19024197,6
cg12250197,6
cg05931366,6
cg01194119,6
cg02444871,6
cg06451834,6
cg02523400,6
cg26822175,6
cg14412792,6
cg01905056,6
cg09244200,6
cg22487450,6
cg03682690,6
cg01312762,6
cg05227621,6
cg18617393,6
cg16679093,6
cg10128085,6
cg14884760,6
cg22405555,6
cg07637440,6
cg19800640,6
cg17137457,6
cg22662321,6
cg06568260,6
cg24764759,6
cg01463832,6
cg21765440,6
cg06624358,7
cg08250879,7
cg05638471,7
cg10206052,7
cg03386811,7
cg01799930,7
cg20269544,7
cg23015118,7
cg06177107,7
cg10051054,7
cg07374414,7
cg25706257,7
cg02064442,7
cg26352795,7
cg04476741,7
cg05230551,7
cg07180971,7
cg13081498,7
cg08231696,7
cg04934305,7
cg15136975,7
cg26370078,7
cg07317602,7
cg20459138,7
cg19822599,7
cg03422552,7
cg20570464,7
cg23713600,7
cg10493879,7
cg24940885,7
cg13370086,7
cg00568550,7
cg23592947,7
cg17603219,7
cg22427279,7
cg06832956,7
cg18788349,7
cg00892060,7
cg11085602,7
cg07196514,7
cg13149890,7
cg24486235,7
cg16403565,7
cg04982190,7
cg18194426,7
cg16724416,7
cg13735697,7
cg14283099,7
cg18759595,7
cg23078948,7
cg14041264,7
cg18867950,7
cg17269430,7
cg04741860,7
cg23596425,7
cg18663259,7
cg13093352,7
cg01592350,7
cg19723652,7
cg00442205,7
cg23939782,7
cg02353427,7
cg10359347,7
cg10827768,7
cg06703213,7
cg01695532,7
cg25073998,7
cg09494582,7
cg12311377,7
cg04459585,7
cg00819048,7
cg27062759,7
cg12977946,7
cg12793160,7
cg04242477,7
cg18987284,7
cg16882472,7
cg14635767,7
cg18418586,7
cg22171085,7
cg06948242,7
cg00397113,7
cg16851221,7
cg21100734,7
cg21579959,7
cg07123385,7
cg12924402,7
cg00793981,7
cg14581294,7
cg27023555,7
cg17977362,7
cg16709836,7
cg05571558,7
cg17336044,7
cg07597816,7
cg04145539,7
cg09553673,7
cg25506501,7
cg11569531,7
cg25188166,7
cg12414339,7
cg07586984,7
cg16816961,7
cg10249221,7
cg18596939,7
cg21743623,7
cg10681391,7
cg07617768,7
cg25819406,7
cg08202274,7
cg17809494,7
cg01883054,7
cg11387073,7
cg15303329,7
cg20727637,7
cg21343777,7
cg09217856,7
cg11640079,7
cg04736951,7
cg09551502,7
cg23629820,7
cg18434356,7
cg11848244,7
cg24768050,7
cg10355898,7
cg03373519,7
cg24279701,7
cg22805500,7
cg03880988,7
cg14051288,7
cg14012124,7
cg14979076,7
cg21005683,7
cg02545984,7
cg05494080,7
cg17209769,7
cg25958261,7
cg13964746,7
cg26924321,7
cg09068927,7
cg16537985,7
cg16021428,7
cg25143743,7
cg06450373,7
cg21045824,7
cg08496483,7
cg06422277,7
cg24120753,7
cg12655768,7
cg00924575,7
cg19071398,7
cg11685249,7
cg21743925,7
cg09851765,7
cg10864187,7
cg18849725,7
cg10971549,7
cg14778922,7
cg11162116,7
cg26882525,7
cg14973408,7
cg20462978,7
cg20949320,7
cg11845912,7
cg04904346,7
cg15105476,7
cg20330747,7
cg00870701,7
cg24471073,7
cg05907976,7
cg08460078,7
cg17134700,7
cg12169875,7
cg06503981,7
cg11010528,7
cg00390191,7
cg04126584,7
cg22721256,7
cg07507446,7
cg00356815,7
cg04754776,7
cg05074385,7
cg00558297,7
cg12046288,7
cg13377264,7
cg03563090,7
cg27117243,7
cg05346947,7
cg22731440,7
cg10542672,7
cg00054409,7
cg01101177,7
cg17510601,7
cg04868554,7
cg06002203,7
cg14026451,7
cg18424635,7
cg09949906,7
cg08231637,7
cg22233843,7
cg10995964,7
cg12474013,7
cg08506353,7
cg25559069,7
cg06559364,7
cg19085918,7
cg11971121,7
cg19592003,7
cg27446005,7
cg13278922,7
cg09075484,7
cg23974730,7
cg15832847,7
cg01121127,7
cg15031384,7
cg03035495,7
cg24955546,7
cg10991855,7
cg07732331,7
cg22319080,7
cg11773265,7
cg19009469,7
cg25945504,7
cg22148695,7
cg13866263,7
cg10185767,7
cg11885201,7
cg08342837,7
cg13957198,7
cg03392753,7
cg05925927,7
cg19263161,7
cg27601169,7
cg07803860,7
cg27202779,7
cg06686106,7
cg21238197,7
cg04988219,7
cg16989544,7
cg02850468,7
cg05357107,7
cg24525151,7
cg07227187,7
cg19263469,7
cg11412070,7
cg19342382,7
cg01921059,7
cg08385371,7
cg06714981,7
cg23169584,7
cg21165045,7
cg25918245,7
cg22941054,7
cg22941054,7
cg18005547,7
cg21501305,7
cg01754178,7
cg20223687,7
cg22062231,7
cg13681962,7
cg23858960,7
cg10675527,7
cg17583158,7
cg09631495,7
cg17267907,7
cg14818701,7
cg22295658,7
cg19877248,7
cg05502360,7
cg09091657,7
cg10919318,7
cg18462033,7
cg26693530,7
cg21515656,7
cg11828070,7
cg13453244,7
cg25174155,7
cg12067015,7
cg17531142,7
cg00287841,7
cg02985871,7
cg22479689,7
cg14708514,7
cg24002158,7
cg17796982,7
cg16880779,7
cg07486230,7
cg18214600,7
cg13993647,7
cg14100550,7
cg13712952,7
cg13496755,7
cg20240541,7
cg14021373,7
cg14157527,7
cg13719295,7
cg06942370,7
cg21212401,7
cg20653859,7
cg05336149,7
cg15245292,7
cg11270017,7
cg19374462,7
cg02576415,7
cg02321519,7
cg25334461,7
cg12798853,7
cg16139068,7
cg27141489,7
cg19591573,7
cg23291158,7
cg24076633,7
cg08277196,7
cg04068844,7
cg00734979,7
cg10074506,7
cg26335898,7
cg24882714,7
cg03697076,7
cg25542438,7
cg01512466,7
cg08844974,7
cg04806933,7
cg19466110,7
cg14464852,7
cg10246121,7
cg04004768,7
cg11216027,7
cg16139302,7
cg26676440,7
cg20590109,7
cg24900563,7
cg14053595,7
cg01961222,7
cg07125829,7
cg16541869,7
cg16110032,7
cg05209996,7
cg14075254,7
cg09519349,7
cg04878146,7
cg23718775,7
cg14123920,7
cg05021075,7
cg22136749,7
cg25354587,7
cg15426815,7
cg16175737,7
cg15990409,7
cg07295197,7
cg21570277,7
cg11701583,7
cg17594351,7
cg05681981,7
cg07678010,7
cg02246665,7
cg16488382,7
cg11823382,7
cg18929590,7
cg03674465,7
cg16449620,7
cg05948955,7
cg24326293,7
cg24135151,7
cg17574785,7
cg13292984,7
cg22415810,7
cg19182537,7
cg05408313,7
cg02775254,7
cg09460490,7
cg27443567,7
cg23947138,7
cg09028899,7
cg15505294,7
cg02898977,7
cg13732130,7
cg19656425,7
cg16342323,7
cg00377727,7
cg15468746,7
cg23196123,7
cg13242077,7
cg21864016,7
cg18912484,7
cg26103168,7
cg26023960,7
cg22807598,7
cg19931922,7
cg06821009,7
cg14837792,7
cg13220603,7
cg06808763,7
cg05088017,7
cg09692670,7
cg01142969,7
cg19596020,7
cg13898384,7
cg16958927,7
cg02025578,7
cg20117256,7
cg22571016,7
cg21658515,7
cg13161263,7
cg26896717,7
cg16698286,7
cg26775123,7
cg01892977,7
cg07027566,7
cg03960654,7
cg10492935,7
cg08019608,7
cg09455887,7
cg06294384,7
cg02050232,7
cg05761700,7
cg27519236,7
cg27035999,7
cg05798111,7
cg04979147,7
cg01230035,7
cg00739973,7
cg09735674,7
cg03340135,7
cg08136432,7
cg08850438,7
cg00892703,7
cg27379442,7
cg16374411,7
cg04702538,7
cg08693337,7
cg23767840,7
cg23047322,7
cg18170879,7
cg14004602,7
cg08884363,7
cg23827950,7
cg23117085,7
cg01158257,7
cg18681375,7
cg02288522,7
cg10095608,7
cg00019880,7
cg26935330,7
cg07728250,7
cg27527595,7
cg09359749,7
cg23255558,7
cg11469818,7
cg08956673,7
cg08992574,7
cg26327274,7
cg15062225,7
cg24911934,7
cg03864121,7
cg25367758,7
cg09907228,7
cg00467278,7
cg03503758,7
cg00469473,7
cg05300762,7
cg17741712,7
cg18593194,7
cg04292549,7
cg00365481,7
cg16246915,7
cg03264071,7
cg06620200,7
cg02345758,7
cg26588699,7
cg09852918,7
cg01742177,7
cg03917817,7
cg11352681,7
cg21544475,7
cg21921996,7
cg22869461,7
cg00264578,7
cg16423285,7
